params,mean_test_score,std_test_score,rank_test_score
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 300, 'scaler': StandardScaler(), 'select': 'passthrough'}",0.7969790262647083,0.010248527414047437,1
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 300, 'scaler': 'passthrough', 'select': 'passthrough'}",0.7969476395721428,0.010312933649417625,2
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 300, 'scaler': MinMaxScaler(), 'select': 'passthrough'}",0.7968895103037033,0.010372886685333808,3
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 100, 'scaler': StandardScaler(), 'select': 'passthrough'}",0.7945698948012604,0.01085331264901775,4
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 100, 'scaler': 'passthrough', 'select': 'passthrough'}",0.7945097498237021,0.010929836747282307,5
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 100, 'scaler': MinMaxScaler(), 'select': 'passthrough'}",0.7944612298709612,0.011001254759192985,6
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 300, 'scaler': StandardScaler(), 'select': 'passthrough'}",0.7735694088635945,0.011645360814928805,7
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 300, 'scaler': MinMaxScaler(), 'select': 'passthrough'}",0.7734878618689285,0.011699644574942875,8
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 300, 'scaler': 'passthrough', 'select': 'passthrough'}",0.7734858257019985,0.01167350172657314,9
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 100, 'scaler': StandardScaler(), 'select': 'passthrough'}",0.7718832077873701,0.012446819461706587,10
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 100, 'scaler': MinMaxScaler(), 'select': 'passthrough'}",0.7717812058808968,0.012512685815121202,11
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 100, 'scaler': 'passthrough', 'select': 'passthrough'}",0.7717765803407457,0.012463863881552456,12
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 300, 'scaler': StandardScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6536580911343721,0.016222963844247915,13
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 300, 'scaler': MinMaxScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6535925464900045,0.01630249800683761,14
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 300, 'scaler': 'passthrough', 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6535223620051347,0.016309855542336868,15
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 100, 'scaler': MinMaxScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.651670694730315,0.016251385797774624,16
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 100, 'scaler': 'passthrough', 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6515993296341895,0.016251079959093778,17
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': None, 'model__n_estimators': 100, 'scaler': StandardScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.651575323585145,0.01619871300915039,18
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 300, 'scaler': StandardScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6478165511924887,0.016120284157497458,19
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 300, 'scaler': MinMaxScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6477580203358375,0.0161107817510775,20
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 300, 'scaler': 'passthrough', 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6477426206193477,0.016154591499312723,21
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 100, 'scaler': 'passthrough', 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6469836091137833,0.016256590641567054,22
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 100, 'scaler': StandardScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.6469825709161819,0.016265129934930286,23
"{'model': RandomForestRegressor(random_state=42), 'model__max_depth': 10, 'model__n_estimators': 100, 'scaler': MinMaxScaler(), 'select': SelectKBest(k=7, score_func=<function f_regression at 0x0000027A13DF96C0>)}",0.646956696582211,0.01623825376064599,24
